dutyAddr,dutyEmcls,dutyEmclsName,dutyName,dutyTel1,dutyTel3,hpid,phpid,rnum,wgs84Lat,wgs84Lon
울산광역시 남구 남산로354번길 26 (신정동),G009,응급실운영신고기관,(의)내경의료재단울산제일병원,052-220-3300,052-220-3334,A1700023,A1700023,1,35.5482382,129.3070114
부산광역시 기장군 기장읍 대청로72번길 6,G007,지역응급의료기관,(의)서일의료재단기장병원,051-723-0171,051-723-2119,A1200028,A1200028,2,35.23602946,129.2164916
"인천광역시 서구 칠천왕로33번길 17 (석남동, 신석로 70(석남1동, 성민병원))",G007,지역응급의료기관,(의)성세의료재단 뉴성민병원,032-726-1000,032-726-1190,A1400008,A1400008,3,37.50899368,126.6694786
"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",G006,지역응급의료센터,(의)영문의료재단다보스병원,031-8021-2114,031-8021-2130,A2100019,A2100019,4,37.23464129,127.2104987
경기도 용인시 처인구 고림로 81 (고림동),G007,지역응급의료기관,(의)효심의료재단용인서울병원,031-337-0114,031-336-0119,A2100122,A2100122,5,37.24031637,127.2144914
"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",G007,지역응급의료기관,(재)미리내천주성삼성직수도회천주성삼병원,053-790-1000,053-790-0555,A1300081,A1300081,6,35.84022545,128.7057334
광주광역시 광산구 왕버들로 220 (수완동),G006,지역응급의료센터,KS병원,062-975-9000,062-975-9119,A1500019,A1500019,7,35.19796318,126.8332248
"대구광역시 중구 동덕로 194 (동인동1가, 동화빌딩)",G009,응급실운영신고기관,MS재건병원,053-653-0119,053-653-0119,A1300063,A1300063,8,35.87187973,128.6048935
"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",G006,지역응급의료센터,가톨릭관동대학교국제성모병원,1600-8291,032-290-3065,A1400015,A1400015,9,37.54237265,126.6836049
인천광역시 부평구 동수로 56 (부평동),G006,지역응급의료센터,가톨릭대학교 인천성모병원,032-280-6364,032-280-6107,A1400012,A1400012,10,37.48455865,126.7247081
"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",G006,지역응급의료센터,가톨릭대학교부천성모병원,032-1577-0675,032-340-2100,A2100052,A2100052,11,37.48744774,126.7924346
경기도 수원시 팔달구 중부대로 93 (지동),G006,지역응급의료센터,가톨릭대학교성빈센트병원,031-1577-8588,031-249-7370,A2100012,A2100012,12,37.27792235,127.0274495
"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",G006,지역응급의료센터,가톨릭대학교여의도성모병원,02-1661-7575,02-3779-1199,A1100011,A1100011,13,37.51827234,126.9367313
서울특별시 은평구 통일로 1021 (진관동),G006,지역응급의료센터,가톨릭대학교은평성모병원,02-1811-7755,02-1811-7755,A1121013,A1121013,14,37.63360841,126.9161505
"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",G001,권역응급의료센터,가톨릭대학교의정부성모병원,1661-7500,031-820-5200,A2100040,A2100040,15,37.75865548,127.0776729
서울특별시 관악구 관악로 242 (봉천동),G009,응급실운영신고기관,강남고려병원,1661-8267,02-874-7227,A1100047,A1100047,16,37.48561884,126.9567817
"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",G009,응급실운영신고기관,강남베드로병원,1544-7522,1544-7522,A1100141,A1100141,17,37.48561218,127.0395873
"경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)",G006,지역응급의료센터,강남병원,031-300-0114,031-300-0119,A2100029,A2100029,18,37.27377984,127.1114072
"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",G007,지역응급의료기관,강남종합병원,053-980-9000,053-980-9018,A1300018,A1300018,19,35.88300855,128.663456
"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",G009,응급실운영신고기관,강남힐병원,02-853-4600,02-853-9100,A1100076,A1100076,20,37.48165134,126.9116481
서울특별시 강동구 동남로 892 (상일동),G001,권역응급의료센터,강동경희대학교의대병원,02-440-7114,02-440-7000,A1100043,A1100043,21,37.55204593,127.1570848
강원특별자치도 강릉시 사천면 방동길 38,G001,권역응급의료센터,강릉아산병원,033-610-3114,033-610-3333,A2200008,A2200008,22,37.81842669,128.8577141
경상남도 고성군 고성읍 중앙로 49,G007,지역응급의료기관,강병원,055-673-0101,055-673-4848,A2800032,A2800032,23,34.97415925,128.3252894
서울특별시 종로구 새문안로 29 (평동),G006,지역응급의료센터,강북삼성병원,02-2001-2001,02-2001-1000,A1100006,A1100006,24,37.56849763,126.9679381
"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",G009,응급실운영신고기관,강북으뜸병원,02-986-0334,02-986-0334,A1121842,A1121842,25,37.62542056,127.0261845
"서울특별시 강서구 가로공원로 187, 강서케이병원 (화곡동)",G009,응급실운영신고기관,강서케이병원,02-1833-7530,02-6905-8585,A1117285,A1117285,26,37.53735762,126.836699
강원특별자치도 춘천시 백령로 156 (효자동),G006,지역응급의료센터,강원대학교병원,033-258-2000,033-258-2245,A2200009,A2200009,27,37.87497158,127.7444857
"강원특별자치도 강릉시 경강로 2007-0 (남문동,강릉의료원)",G007,지역응급의료기관,강원특별자치도강릉의료원,033-610-1200,033-610-1234,A2200011,A2200011,28,37.74931042,128.8887963
강원특별자치도 삼척시 오십천로 418 (남양동),G006,지역응급의료센터,강원특별자치도삼척의료원,033-572-1141,033-570-7431,A2200007,A2200007,29,37.44027923,129.1637001
강원특별자치도 속초시 영랑호반길 3 (영랑동),G006,지역응급의료센터,강원특별자치도속초의료원,033-630-6000,033-630-6036,A2200012,A2200012,30,38.21622785,128.5891195
강원특별자치도 영월군 영월읍 중앙1로 59-  ( ),G007,지역응급의료기관,강원특별자치도영월의료원,033-370-9101,033-370-9129,A2200002,A2200002,31,37.1865884,128.4653053
"강원특별자치도 원주시 서원대로 387 (개운동, (개운동))",G007,지역응급의료기관,강원특별자치도원주의료원,033-760-4500,033-760-4701,A2200015,A2200015,32,37.33249603,127.948962
경상남도 김해시 가락로 359 (구산동),G007,지역응급의료기관,강일병원,055-822-0100,055-822-0119,A2803677,A2803677,33,35.25670435,128.8696111
