rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,updated_at
15,102. 망원역 1번출구 앞,27,180,37.55564880,126.91062927,ST-4,2025-09-04T10:00:00.000+09:00
14,103. 망원역 2번출구 앞,28,200,37.55495071,126.91083527,ST-5,2025-09-04T10:00:00.000+09:00
13,104. 합정역 1번출구 앞,1,8,37.55073929,126.91508484,ST-6,2025-09-04T10:00:00.000+09:00
5,105. 합정역 5번출구 앞,1,20,37.55000687,126.91482544,ST-7,2025-09-04T10:00:00.000+09:00
12,106. 합정역 7번출구 앞,4,33,37.54864502,126.91282654,ST-8,2025-09-04T10:00:00.000+09:00
10,107. 수협 연남동지점,2,20,37.55784607,126.91871643,ST-9,2025-09-04T10:00:00.000+09:00
12,108. 서교동 사거리,3,25,37.55274582,126.91861725,ST-10,2025-09-04T10:00:00.000+09:00
10,111. 상수역 2번출구 앞,6,60,37.54787064,126.92353058,ST-15,2025-09-04T10:00:00.000+09:00
25,113. 홍대입구역 2번출구 앞,10,40,37.55743790,126.92382050,ST-18,2025-09-04T10:00:00.000+09:00
15,114. 홍대입구역 8번출구 앞,1,7,37.55706024,126.92442322,ST-20,2025-09-04T10:00:00.000+09:00
15,115. 마스타 빌딩 앞,0,0,37.55893326,126.92711639,ST-12,2025-09-04T10:00:00.000+09:00
23,117. 홍은사거리,17,74,37.59115982,126.94132996,ST-17,2025-09-04T10:00:00.000+09:00
9,118. 광흥창역 2번출구 앞,5,56,37.54773331,126.93176270,ST-19,2025-09-04T10:00:00.000+09:00
10,119. 서강나루 공원,29,290,37.54520798,126.93146515,ST-21,2025-09-04T10:00:00.000+09:00
5,120. 신수동 사거리,6,120,37.54524231,126.93411255,ST-22,2025-09-04T10:00:00.000+09:00
15,121. 마포소방서 앞,2,13,37.54976654,126.93317413,ST-23,2025-09-04T10:00:00.000+09:00
10,122. 신성기사식당 앞,11,110,37.54745865,126.93837738,ST-24,2025-09-04T10:00:00.000+09:00
20,123. 문화촌 공원,4,20,37.59432983,126.94738770,ST-25,2025-09-04T10:00:00.000+09:00
35,124. 서강대 정문 건너편,0,0,37.55113983,126.93698883,ST-26,2025-09-04T10:00:00.000+09:00
20,126. 서강대 후문 옆,14,70,37.55041122,126.94384766,ST-28,2025-09-04T10:00:00.000+09:00
9,127. 현대벤처빌 앞,1,11,37.55352020,126.93695068,ST-29,2025-09-04T10:00:00.000+09:00
19,128. 신촌역(2호선) 1번출구 옆,0,0,37.55549622,126.93634033,ST-30,2025-09-04T10:00:00.000+09:00
10,129. 신촌역(2호선) 6번출구 옆,2,20,37.55505371,126.93756866,ST-31,2025-09-04T10:00:00.000+09:00
10,130. 신촌역(2호선) 7번출구 앞,0,0,37.55504990,126.93626404,ST-32,2025-09-04T10:00:00.000+09:00
20,131. 증산2교,48,240,37.58417130,126.91110229,ST-33,2025-09-04T10:00:00.000+09:00
15,133. 해담는다리,40,267,37.58203125,126.90899658,ST-35,2025-09-04T10:00:00.000+09:00
8,134. 연세로 명물길,1,13,37.55789185,126.93807983,ST-36,2025-09-04T10:00:00.000+09:00
10,135. 명물길 원형무대 앞,4,40,37.55922699,126.93984222,ST-37,2025-09-04T10:00:00.000+09:00
10,137. 신촌기차역입구 교차로,4,40,37.55681229,126.94318390,ST-39,2025-09-04T10:00:00.000+09:00
10,138. 신촌동 제1공영주차장 앞,3,30,37.55917740,126.93452454,ST-40,2025-09-04T10:00:00.000+09:00
10,139. 연세대 정문 건너편,2,20,37.55986404,126.93441772,ST-43,2025-09-04T10:00:00.000+09:00
22,140. 이화여대 후문,5,23,37.56000900,126.94073486,ST-41,2025-09-04T10:00:00.000+09:00
10,141. 연대 대운동장 옆,1,10,37.56238174,126.93264771,ST-42,2025-09-04T10:00:00.000+09:00
11,142. 아현역 4번출구 앞,20,182,37.55720139,126.95566559,ST-200,2025-09-04T10:00:00.000+09:00
8,143. 공덕역 2번출구,13,163,37.54464722,126.95008850,ST-201,2025-09-04T10:00:00.000+09:00
9,145. 공덕역 5번출구,36,400,37.54425049,126.95163727,ST-203,2025-09-04T10:00:00.000+09:00
12,146. 마포역 2번출구 뒤,28,233,37.53993607,126.94582367,ST-204,2025-09-04T10:00:00.000+09:00
7,147. 마포역 4번출구 뒤,27,386,37.53927231,126.94591522,ST-205,2025-09-04T10:00:00.000+09:00
11,148. 용강동 주민센터 앞,23,209,37.54234695,126.94302368,ST-206,2025-09-04T10:00:00.000+09:00
15,150. 서강대역 2번출구 앞,7,47,37.55295563,126.93434143,ST-207,2025-09-04T10:00:00.000+09:00
10,153. 성산2교 사거리,22,220,37.56469727,126.91261292,ST-210,2025-09-04T10:00:00.000+09:00
12,154. 마포구청역 ,25,208,37.56090927,126.90549469,ST-211,2025-09-04T10:00:00.000+09:00
15,155. 가좌역1 번출구 앞,10,67,37.56829453,126.91504669,ST-212,2025-09-04T10:00:00.000+09:00
10,156. 서울서부지방법원 앞,12,120,37.54933167,126.95491791,ST-213,2025-09-04T10:00:00.000+09:00
12,157. 애오개역 4번출구 앞,27,225,37.55300140,126.95668793,ST-214,2025-09-04T10:00:00.000+09:00
5,159. 이대역 4번 출구,2,40,37.55695343,126.94634247,ST-216,2025-09-04T10:00:00.000+09:00
13,160. 북아현동 가구거리,3,23,37.55754852,126.95938110,ST-217,2025-09-04T10:00:00.000+09:00
8,161. 무악재역1번 출구,0,0,37.58224487,126.95064545,ST-218,2025-09-04T10:00:00.000+09:00
15,162. 봉원고가차도 밑,15,100,37.56626129,126.94667053,ST-219,2025-09-04T10:00:00.000+09:00
6,163. 명지전문대학교 정문 앞,8,133,37.58369827,126.92496490,ST-220,2025-09-04T10:00:00.000+09:00
10,164. 북가좌1동 주민센터 ,8,80,37.57447815,126.91004944,ST-221,2025-09-04T10:00:00.000+09:00
20,165. 중앙근린공원,18,90,37.57513809,126.91394043,ST-222,2025-09-04T10:00:00.000+09:00
20,166. 가재울 초등학교,34,170,37.57381821,126.91923523,ST-223,2025-09-04T10:00:00.000+09:00
15,167. 연가초등학교 옆,4,27,37.57946014,126.91712952,ST-224,2025-09-04T10:00:00.000+09:00
10,169. 북가좌 삼거리,11,110,37.57300186,126.90779877,ST-226,2025-09-04T10:00:00.000+09:00
10,170. DMC파크뷰자이아파트 302동 앞,21,210,37.57311249,126.92244720,ST-227,2025-09-04T10:00:00.000+09:00
